Organisation,Type,Atlanticist,NATO-adj,US-linked,Commissioners
Atlantic Council,Think tank,✓,✓,✓,"Andrius Kubilius, Henna Virkkunen"
Atlantic Council of Finland (ACF),Think tank / advocacy,✓,✓,✓,Henna Virkkunen
Slovak Atlantic Commission (SAC),Think tank / advocacy,✓,✓,,Maroš Šefčovič
Munich Security Conference (MSC),Conference / forum,✓,✓,✓,Ursula von der Leyen
World Economic Forum (WEF),Multi-stakeholder forum,✓,,✓,"José Manuel Barroso, Teresa Ribera, Ursula von der Leyen"
European Leadership Network (ELN),Think tank / advocacy,✓,✓,,Jutta Urpilainen
European Council on Foreign Relations (ECFR),Think tank,✓,,,Kaja Kallas
GLOBSEC,Conference / think tank,✓,✓,✓,Věra Jourová
Friends of Europe,Think tank / forum,✓,,,"Andris Piebalgs, Andrius Kubilius, Androulla Vassiliou, Federica Mogherini, Jean-Claude Juncker, Joaquín Almunia, László Andor"
Elcano Royal Institute,Think tank,✓,,,Josep Borrell I Fontelles
Deloitte Deutschland,Professional services,,,✓,Günther Oettinger
International Republican Institute (IRI),NGO / democracy promotion,✓,,✓,Andrius Kubilius
RAND Europe,Think tank,✓,✓,✓,László Andor
