name,role,born_year,born_place,country,education,memberships
Koen Lenaerts,President,1954,Mortsel,Belgium,"obtained a law degree in 1977 from Katholieke Universiteit Leuven (Catholic University of Leuven, Belgium) before continuing his studies at Harvard University, USA, where he obtained a Master of Laws in 1978  | graduated from the École nationale d'administration (National School of Administration, France) with an international diploma in public administration | completed his legal traineeship in Cologne (Germany) with the Second State Law Examination and then, in 1996, he obtained teaching authorisation at the Rheinische Friedrich-Wilhelms-Universität Bonn where he w | completed a teaching and research fellowship at the University of California, Berkeley (USA)","Member of the Academia Europaea, London | Member of the Advisory Board of the Centre of Law and Governance in Europe, University College London | Member of the Advisory Board of the EU Tax Review | Member of the Advisory Council of the British Institute of International and Comparative Law | Member of the Board of Trustees of the Max-Planck-Institut für ausländisches öffentliches Recht und Völkerrecht, Heidelberg | Member of the Governing Board of the Foundation of the Academy of European Law (ERA), Trier | Member of the editorial committee of EStAL (European State Aid Law Quarterly) | Member of the editorial committee of Europarecht | Member of the editorial committee of International Comparative Jurisprudence, Mykolo Romerio universitetas | Member of the editorial committee of S.E.W. Tijdschrift voor Europees en economisch recht | Member of the editorial committee of actualidad administrativa | Member of the editorial committee of the European Law Review | Member of the honorary committee of Revista Română de Drept European | Member of the scientific committee of Cahiers de droit européen | Member of the scientific committee of Concurrences, Revue des droits de la concurrence"
SHOW LESS,President of the First Chamber,1958,Luxembourg,Grand Duchy of Luxembourg,"obtained a master’s degree in law in 1981 and, subsequently, a diploma of advanced studies (DEA) in Community law in 1982 at the université de droit, d’économie et de sciences sociales de l’université de Pari | graduated from the Institut d’études politiques de Paris (Paris Institute of Political Studies, France)","Alternate member of the Ethics Committee of the Conseil d’État de Luxembourg (Luxembourg Council of State) (for the period from January 2021 to December 2023) | Member of the Advisory Board of the Jean Monnet Chair ‘EU Values &amp; DIGitalization for Our CommuNITY (DIGNITY)’ of Management Center Innsbruck (Austria) | Member of the scientific committee of Revue trimestrielle des droits de l’homme (Belgium) | Commander Grand Cross, Order of the Lion of the Republic of Finland (2009) | Commander in the Order of Merit of Hungary (2012) | Grand Officer of the Order of Civil and Military Merit of Adolphe of Nassau (2004) | Grand Officer of the Order of the Oak Crown of the Grand Duchy of Luxembourg (2004) | Grosser Tiroler Adler-Orden (2012) | Grã-Cruz da Ordem do Infante Dom Henrique (2005) | Officer of the Order of Merit of Luxembourg (1999) | Order of the Gold Lion of the House of Nassau (2012) | Declaration of interests | President of the Second Chamber | Biography and career"
SHOW LESS,President of the Second Chamber,1962,Haapsalu,Estonia,"obtained her law degree (equivalent to a master’s degree) at Tartu ülikool (University of Tartu, Estonia) in 1986 | obtained a European Masters in Human Rights and Democratisation","Member of the Governing Board of the Constitutional Law Foundation at the Estonian Academy for Sciences | Member of the Governing Council and Director of the Association of European Competition Law Judges | Member of Eesti Kohtunike Ühing | Member of Eesti Juristide Liit | Decoration of ‘the Order of the White Star of Estonia, III Class’ (2021) | Declaration of interests | Constantinos Lycourgos | President of the Third Chamber | Biography and career"
Constantinos Lycourgos,President of the Third Chamber,1964,Nicosia,Cyprus,"obtained a law degree in 1985 and, subsequently, a diploma of advanced studies in Community law in 1987 at université Panthéon-Assas Paris II (University Paris 2 Panthéon-Assas, France), the university at whi | completed a law degree in 1997 and a doctor of laws in 2008 at the Vilniaus universitetas (University of Vilnius, Lithuania) | obtained a law degree in 1983, before taking professional judicial training at the Escuela Judicial (Judicial College, Spain) from 1984 to 1985 | obtained a master's degree in law from the Uniwersytet Śląski (University of Silesia, Poland) in 1995 and from the College of Europe in Bruges (Belgium) in 1996 | obtained a law degree from the Latvijas Universitāte (University of Latvia) in 1993, which she supplemented that year with postgraduate studies in the American legal system, the law and politics of the Europe","Founding member of the Cypriot Association of Energy Law | Member of the European Group of Public Law (EGPL) | Declaration of interests | Irmantas Jarukaitis | President of the Fourth Chamber | Biography and career | Mr&#xa0;Irmantas Jarukaitis was born in 1973 in Prienai (Lithuania); he completed a law degree in 1997 and a doctor of laws in 2008 at the Vilniaus universitetas (University of Vilnius, Lithuania). He taught as a lecturer then associate professor at that same university from 1999 to 2018. He undertook other legal research tasks, as shown by his many publications in the fields of European law and constitutional law. Alongside his university roles, he was actively involved in the creation of the Lithuanian Association of European Law, of which he is the cofounder. | In 1997, he began to work for his native country, joining the Department of European Law of the Lithuanian Ministry of Justice; he held the position of Head Specialist, then that of Head of Section from 2002 to 2003 and, from 2004 to 2010, that of Deputy Director-General. Between 2010 and 2018, he carried out jurisdictional duties as a Judge at the Lietuvos vyriausiasis administracinis teismas (Supreme Administrative Court of Lithuania), of which he was the Vice-President from 2012 to 2017. From 2015 to 2017, he was Acting President of that court while sitting at the Teisėjų taryba (Judicial Council, Lithuania). | Mr&#xa0;Jarukaitis was appointed as a Judge at the Court of Justice on 8&#xa0;October 2018, where he has held office as President of Chamber since 8&#xa0;October 2024. | Member of the Association of European Competition Law Judges | Member of the Lietuvos Europos teisės asociacija"
SHOW LESS,Judge,1963,Zagreb,Croatia,"obtained his law degree from Sveučilište u Zagrebu (University of Zagreb, Croatia) in 1987 and continued his university studies in the United States of America, where he obtained a Master of Laws from the Uni","Member of the Academic Board of the Faculty of Law of the Università del Salento (University of Salento, Italy) | Member of the Advisory Board of the World Jurist Association (WJA) (Washington DC, USA) | Declaration of interests | Manuel Campos Sánchez-Bordona | Advocate General | Biography and career"
SHOW LESS,Advocate General,1950,Zafra,Spain,"graduated in law in 1972 after completing his studies at the Universidad de Sevilla (University of Seville, Spain) and at the Universidad de Granada (University of Granada, Spain)",Member of the Junta Electoral Central (Spain) from 2012 to 2015 | Member of the scientific committee of Revista Española de Derecho Europeo | Member of the scientific committee of Revista General de Derecho Europeo | Member of the scientific committee of Revista de Derecho Comunitario Europeo | Declaration of interests | Biography and career
Eugene Regan,Judge,1952,Kilcoon,Ireland,"obtained a degree in politics and economics in 1974 and a master’s degree in political economy in 1975 | completed his university education with a master’s degree in international law and comparative law from the Université libre de Bruxelles (Free University of Brussels, Belgium) in 1979 | graduated in 1980 and where he obtained Master of Laws in 1986 | obtained, in 2003, a doctorate in law","Bencher of the Honorable Society of King’s Inns, Dublin (Ireland) | Director of the Irish Centre for European Law, Dublin (Ireland) | Declaration of interests | Nuno José Cardoso da Silva Piçarra | Biography and career | Born in 1957 in Sintra (Portugal), Mr&#xa0;Nuno Piçarra studied law at the Universidade de Lisboa (University of Lisbon, Portugal) from which he graduated in 1980 and where he obtained Master of Laws in 1986. He later wrote a thesis at the Faculty of Law at the Universidade Nova de Lisboa (New University of Lisbon, Portugal) where he obtained, in 2003, a doctorate in law. | In the course of his academic career, he was firstly a lecturer in law at the Faculty of Law at the Universidade de Lisboa between 1981 and 1986, and then a visiting professor at the Institute of European Studies of the Universität des Saarlandes (Saarland University, Germany) from 1987 to 1996. At the Universidade Nova de Lisboa, he was an assistant professor of law from 2003 to 2008 and an associate professor of law from 2008 to 2018. He also taught as a visiting professor at the Universidad Pontificia Comillas (Comillas Pontifical University, Spain) from 2014 to 2018. His commitment to scientific research is reflected by his numerous publications in the fields of constitutional law and EU law, particularly on the area of freedom, security and justice; on the free movement of persons; and on institutional law. | Mr&#xa0;Piçarra joined the Court of Justice for the first time in 1986. He worked as a lawyer-linguist until 1987 and then as a lawyer-reviser from 1987 to 1990. He became a legal secretary in 1990 when he joined the Court of First Instance in the cabinet of President José Luís da Cruz Vilaça, with whom he worked until 1995, before joining the cabinet of Judge Rui Manuel Gens de Moura Ramos until 1996. | From 1996 to 1999, the government of his home country entrusted him"
Andreas Kumin,Judge,1965,Graz,Austria,"obtained a law degree in 1987 and, subsequently, a doctorate in law in 1990 | obtained a law degree in 1980 and then, in 1982, a postgraduate law degree from the Helsingin yliopisto (University of Helsinki, Finland) | obtained a Master of Laws at the université Paris II (University of Paris II, France) in 1982 before beginning his professional judicial training at the École nationale de la magistrature (National School for | obtained a degree in law from the Panepistimio Athinon (University of Athens, Greece) in 1976 and completed his studies with a master's degree with a specialisation in European law from the Université Libre d | obtained his master’s degree in law from the Ethniko kai Kapodistriako Panepistimio Athinón (National and Kapodistrian University of Athens, Greece) in 1980 and a diplôme d'études approfondies (diploma of adv","Regular participation, at the invitation of the Austrian Ministry of Foreign Affairs, in the sessions of the ‘Beirat für Europarecht’ (informal advisory committee on European law) | Declaration of interests | Biography and career | Born in 1958 in Mikkeli (Finland), Mr&#xa0;Niilo Jääskinen obtained a law degree in 1980 and then, in 1982, a postgraduate law degree from the Helsingin yliopisto (University of Helsinki, Finland). In 2008, he was awarded his doctoral thesis in law at the same university. His interest in teaching became apparent very early; he became a lecturer in law at the Helsingin yliopisto in 1980, a position which he held until 1986. | In 1983, he served as a legal secretary and acting judge at the Rovaniemen kihlakunnanoikeus (District Court, Rovaniemi, Finland) for one year. He was a legal adviser at the Finnish Ministry of Justice from 1987 to 1989 where he subsequently became head of the European Law Section from 1990 to 1995. At the same time, he was a legal adviser at the Finnish Ministry of Foreign Affairs between 1989 and 1990. As the person responsible for legal and institutional questions, he took part in the negotiations for the accession of the Republic of Finland to the European Union. From 1995 to 2000, he held the positions of an advisor and a clerk for European affairs of the Grand Committee of the Finnish Parliament. | Having been called to the service of the Finnish judiciary, Mr&#xa0;Jääskinen performed the duties of an acting judge at the Korkein hallinto-oikeus (Supreme Administrative Court, Finland) from 2000 to 2002 where he was a judge from 2003 to 2009. | He joined the Court of Justice as Advocate General on 7&#xa0;October 2009, a position which he held until 7&#xa0;October 2015. Upon return to his home"
SHOW LESS,Judge,1967,Voiron,France,"graduated from the Institut d’études politiques (IEP) de Grenoble (Grenoble Institute of Political Studies, France) in 1988 and from the École nationale d’administration (ENA) (National School of Administratio | obtained his law degree in 1992 at the Københavns Universitet (University of Copenhagen, Denmark) and his doctorate in law in 2004 at Aarhus Universitet (Aarhus University, Denmark) | obtained a law degree at the Università ta’Malta (University of Malta) in 1993 and a doctorate in law at that university in 1995 | completed her university education with a postgraduate degree in European law at King’s College London (United Kingdom) | obtained a master’s degree in law at the Vilniaus universitetas (University of Vilnius, Lithuania) in 2001","Member of the Société de Législation Comparée (Society of Comparative Legislation) | Member of the association of members of the Conseil d’État | Member of the association of students and alumni of the École nationale d’administration (ENA) | Member of the scientific committee of Revue universelle des droits de l’Homme | Member of the students’ association of the Institut d’études politiques (IEP) de Grenoble | Chevalier de la Légion d’honneur (awarded by decree of the President of the French Republic) (2012) | Declaration of interests | Biography and career | Born in 1968 in Copenhagen, Mr&#xa0;Niels Fenger obtained his law degree in 1992 at the Københavns Universitet (University of Copenhagen, Denmark) and his doctorate in law in 2004 at Aarhus Universitet (Aarhus University, Denmark). | He began his professional career at the Danish Ministry of Justice, where he was Head of Section at the European Union Law Office from 1992 to 1993 and at the Civil Law Office from 1993 to 1994. In 1994, he joined the Court of Justice of the European Union as a legal secretary in the cabinet of Advocate General Michael Bendik Elmer. | On his return to Denmark in 1995, he taught, as a researcher, administrative law and EU law at the Københavns Universitet. Between 1996 and 2000, he returned to the Danish Ministry of Justice as Head of Section at the Constitutional and Administrative Law Office. | In 2001, he joined the Danish Ministry of the Interior as Head of Office where he was responsible for monitoring the legality of municipal decisions relating to trade and the environment. In 2002, he was appointed Director of the legal department of the European Free Trade Association (EFTA) Surveillance Authority, a post he held until 2009, representing that institution before the Court of Justice of the European Union and the EFTA Court."
Alfredo Calot Escobar,Registrar,1961,Valencia,Spain,obtained a law degree in 1984,Alumni Plus Universitat de Valencia | Cruz distinguida de primera clase San Raimundo de Peñafort | Orden del mérito civil | Declaration of interests | Composition of chambers of the Court of Justice | Ethical Standards for Members and Staff at the Court of Justice of the European Union | List of the external activities of the Members of the Court of Justice in the past year | Code of Conduct for Members and former Members of the Court of Justice of the European Union | Site language policy | Site accessibility
