name,commission,institution
Günter Verheugen,Barroso I,Political Science degree
Jacques Barrot,Barroso I,Sciences Po
Viviane Reding,Barroso I,PhD/Doctorate
Stavros Dimas,Barroso I,Law degree
Joaquín Almunia,Barroso I,Cambridge
Joaquín Almunia,Barroso I,Harvard
Danuta Hübner,Barroso I,PhD/Doctorate
Danuta Hübner,Barroso I,SGH Warsaw
Joe Borg,Barroso I,PhD/Doctorate
Joe Borg,Barroso I,Law degree
Dalia Grybauskaitė,Barroso I,PhD/Doctorate
Dalia Grybauskaitė,Barroso I,Georgetown
Janez Potočnik,Barroso I,PhD/Doctorate
Janez Potočnik,Barroso I,Economics degree
Janez Potočnik,Barroso I,Imperial College London
Ján Figeľ,Barroso I,PhD/Doctorate
Markos Kyprianou,Barroso I,Harvard
Meglena Kuneva,Barroso I,Oxford
Maroš Šefčovič,Barroso II,PhD/Doctorate
Maroš Šefčovič,Barroso II,MGIMO
Karel De Gucht,Barroso II,ULB Brussels
Štefan Füle,Barroso II,MGIMO
Günther Oettinger,Barroso II,Law degree
Dacian Cioloș,Barroso II,PhD/Doctorate
Kristalina Georgieva,Barroso II,MIT
Kristalina Georgieva,Barroso II,PhD/Doctorate
Kristalina Georgieva,Barroso II,LSE
Tonio Borg,Barroso II,PhD/Doctorate
Tonio Borg,Barroso II,Law degree
Máire Geoghegan-Quinn,Barroso II,PhD/Doctorate
László Andor,Barroso II,Economics degree
Cecilia Malmström,Barroso II,Political Science degree
Cecilia Malmström,Barroso II,Harvard
Cecilia Malmström,Barroso II,PhD/Doctorate
Neven Mimica,Barroso II,Economics degree
Jean-Claude Juncker,Juncker,Political Science degree
Jean-Claude Juncker,Juncker,PhD/Doctorate
Jean-Claude Juncker,Juncker,Law degree
Frans Timmermans,Juncker,PhD/Doctorate
Federica Mogherini,Juncker,Political Science degree
Federica Mogherini,Juncker,Sciences Po
Federica Mogherini,Juncker,College of Europe
Federica Mogherini,Juncker,PhD/Doctorate
Jyrki Katainen,Juncker,Political Science degree
Valdis Dombrovskis,Juncker,PhD/Doctorate
Valdis Dombrovskis,Juncker,Economics degree
Jonathan Hill,Juncker,PhD/Doctorate
Jonathan Hill,Juncker,UCL
Pierre Moscovici,Juncker,Sciences Po
Pierre Moscovici,Juncker,ENA
Marianne Thyssen,Juncker,Law degree
Dimitris Avramopoulos,Juncker,Political Science degree
Dimitris Avramopoulos,Juncker,ULB Brussels
Dimitris Avramopoulos,Juncker,PhD/Doctorate
Vytenis Andriukaitis,Juncker,Law degree
Elżbieta Bieńkowska,Juncker,MBA
Elżbieta Bieńkowska,Juncker,SGH Warsaw
Elżbieta Bieńkowska,Juncker,Economics degree
Tibor Navracsics,Juncker,Law degree
Christos Stylianides,Juncker,Harvard
Carlos Moedas,Juncker,Harvard
Věra Jourová,Juncker,Law degree
Ursula von der Leyen,VdL I,Political Science degree
Ursula von der Leyen,VdL I,PhD/Doctorate
Ursula von der Leyen,VdL I,LSE
Nicolas Schmit,VdL I,Sciences Po
Kadri Simson,VdL I,UCL
Mariya Gabriel,VdL I,Sciences Po
Virginijus Sinkevičius,VdL I,Oxford
Kaja Kallas,VdL II,MBA
Kaja Kallas,VdL II,Law degree
Teresa Ribera,VdL II,Political Science degree
Roxana Mînzatu,VdL II,Political Science degree
Apostolos Tzitzikostas,VdL II,Political Science degree
Apostolos Tzitzikostas,VdL II,UCL
Apostolos Tzitzikostas,VdL II,Georgetown
Magnus Brunner,VdL II,King's College London
Ekaterina Zaharieva,VdL II,ENA
Piotr Serafin,VdL II,SGH Warsaw
Piotr Serafin,VdL II,Law degree
Hadja Lahbib,VdL II,ULB Brussels
